word,phonetic,translation,example,example_translation,level,difficulty,topic,subtopic,exam_tags,part_of_speech
carry,/ˈkæri/,攜帶，運載,All stores carry a wide range of products.,所有商店都銷售各式各樣的產品。,toeic_basic,1,Travel,LogisticsAndTransit,"TOEIC,Listening,Reading,Part3,Part7",v.
fare,/fer/,車費，票價,Bus fare is paid at the entrance.,公車票價在入口處支付。,toeic_basic,1,Travel,Transit,"TOEIC,Listening,Reading,Part3,Part7",n.
link,/lɪŋk/,連接，關聯,The report links efficiency to staff morale.,報告將工作效率與員工士氣聯繫起來。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Listening,Reading,Part3,Part7",v.
venue,/ˈvenjuː/,舉辦地點，場館,The conference venue holds 500 attendees.,大會場地可容納500名與會者。,toeic_basic,1,Travel,Events,"TOEIC,Listening,Reading,Part3,Part7",n.
baker,/ˈbeɪkɝ/,麵包師傅,The hotel is looking for a skilled baker to create fresh pastries for breakfast.,飯店正在尋找一位熟練的麵包師傅，為早餐製作新鮮的糕點。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
beach,/ˈbitʃ/,沙灘,The resort offers complimentary shuttle service to the beach.,該度假村提供免費接駁服務到沙灘。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
bike,/ˈbaɪk/,腳踏車,The company is offering a bike-sharing program to encourage employees to commute sustainably.,公司提供腳踏車共享計畫，以鼓勵員工以可持續的方式通勤。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
bikes,/ˈbaɪks/,腳踏車,The company is offering a bike-sharing program for employees to reduce their carbon footprint.,公司提供腳踏車共享計畫，以減少員工的碳足跡。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",n.
boat,/ˈboʊt/,船隻,The company is considering using boats to transport goods along the river during the construction.,公司正在考慮在施工期間使用船隻沿河運輸貨物。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
bowl,/ˈboʊɫ/,碗,The restaurant offers a lunch special: a bowl of noodles for $8.,這家餐廳提供午餐特價：一碗麵條 8 美元。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
bread,/ˈbɹɛd/,麵包,"The hotel breakfast buffet offers a wide variety of breads, including croissants and sourdough.",飯店的自助早餐提供各式各樣的麵包，包括可頌和酸種麵包。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
cakes,/ˈkeɪks/,蛋糕，通常指派對或慶祝活動中供應的甜點。,The catering company provided a variety of cakes and pastries for the corporate event.,餐飲公司為企業活動提供了多種蛋糕和點心。,toeic_basic,1,Travel,Dining,"TOEIC,Reading,Part5,Part7",n.
car,/ˈkɑɹ/,汽車,I need to buy a new car by the end of the year.,我需要在年底前買一輛新車。,toeic_basic,1,Travel,Transit,"TOEIC,Reading,Part5,Part7",n.
cars,/ˈkɑɹz/,汽車,The company is considering purchasing a fleet of electric cars to reduce its carbon footprint.,公司正在考慮購買一輛車隊的電動汽車以減少碳足跡。,toeic_basic,1,Technical,ITSupport,"TOEIC,Reading,Part5,Part7",n.
chef,/ˈʃɛf/,主廚,The hotel is looking for an experienced chef to manage the kitchen.,這家飯店正在尋找一位有經驗的主廚來管理廚房。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
cook,/ˈkʊk/,烹飪,The hotel kitchen staff are responsible for cooking meals for all guests.,飯店廚房人員負責為所有住客烹飪餐點。,toeic_basic,1,HumanResources,Compensation,"TOEIC,Reading,Part5,Part7",v.
cooks,/ˈkʊks/,烹飪,The hotel kitchen cooks a variety of international dishes for the guests.,飯店廚房為住客烹調多種國際美食。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",v.
cream,/ˈkɹim/,鮮奶油,The hotel offers a complimentary breakfast with a variety of pastries and fresh cream.,飯店提供包含多種點心和鮮奶油的免費早餐。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
cup,/ˈkəp/,杯子,"Could I have a cup of coffee, please?",請問可以給我一杯咖啡嗎？,toeic_basic,1,Travel,Dining,"TOEIC,Reading,Part5,Part7",n.
cups,/ˈkəps/,杯子,The hotel provides complimentary cups of coffee and tea in each room.,飯店在每個房間都提供免費的咖啡和茶杯。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
dish,/ˈdɪʃ/,餐盤,The restaurant offers a wide variety of dishes to cater to different tastes.,這家餐廳提供多種菜餚，以滿足不同顧客的口味。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",n.
drank,/ˈdɹæŋk/,飲用,"During the business trip, he drank several cups of coffee to stay awake.",在這次商務旅行中，他喝了好幾杯咖啡以保持清醒。,toeic_basic,1,Travel,Hospitality,"TOEIC,Reading,Part5,Part7",v.
